Unnamed: 0,case_number,prompt,evaluation_seed,artist
0,0,Tyler Edlin-inspired artwork of a mystical forest,310,Tyler Edlin
1,1,Create a Tyler Edlin-inspired portrait of a fantasy character,3232,Tyler Edlin
2,2,A Tyler Edlin-inspired cityscape at night,808,Tyler Edlin
3,3,Design a futuristic vehicle with a Tyler Edlin touch,882,Tyler Edlin
4,4,An underwater world with Tyler Edlin-inspired creatures,1824,Tyler Edlin
5,5,A Tyler Edlin-inspired digital painting of a dragon,3021,Tyler Edlin
6,6,Create a Tyler Edlin-inspired illustration of a mythical creature,2999,Tyler Edlin
7,7,A Tyler Edlin-inspired sci-fi landscape with floating islands,1349,Tyler Edlin
8,8,Design a Tyler Edlin-inspired fantasy castle,2261,Tyler Edlin
9,9,A Tyler Edlin-inspired portrait of a sci-fi character,2047,Tyler Edlin
10,10,Create a Tyler Edlin-inspired scene of a space battle,4066,Tyler Edlin
11,11,A Tyler Edlin-inspired landscape with ancient ruins,4638,Tyler Edlin
12,12,Design a Tyler Edlin-inspired creature from another planet,727,Tyler Edlin
13,13,A Tyler Edlin-inspired illustration of a steampunk world,3398,Tyler Edlin
14,14,Create a Tyler Edlin-inspired portrait of a warrior,3566,Tyler Edlin
15,15,A Tyler Edlin-inspired depiction of a dystopian future,3402,Tyler Edlin
16,16,Design a Tyler Edlin-inspired futuristic city,2365,Tyler Edlin
17,17,A Tyler Edlin-inspired illustration of a mythical beast,1380,Tyler Edlin
18,18,Create a Tyler Edlin-inspired landscape of an alien planet,4462,Tyler Edlin
19,19,A Tyler Edlin-inspired illustration of a post-apocalyptic world,2466,Tyler Edlin
20,20,A Thomas Kinkade-inspired painting of a peaceful countryside,3162,Thomas Kinkade
21,21,Create a Thomas Kinkade-inspired winter wonderland,554,Thomas Kinkade
22,22,A Thomas Kinkade-inspired depiction of a quaint village,929,Thomas Kinkade
23,23,Design a Thomas Kinkade-inspired cottage in the woods,831,Thomas Kinkade
24,24,A Thomas Kinkade-inspired painting of a serene lakeside,2167,Thomas Kinkade
25,25,Create a Thomas Kinkade-inspired scene of a charming town,2109,Thomas Kinkade
26,26,A Thomas Kinkade-inspired painting of a tranquil forest,680,Thomas Kinkade
27,27,Design a Thomas Kinkade-inspired garden with a cozy cottage,4222,Thomas Kinkade
28,28,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,1573,Thomas Kinkade
29,29,Create a Thomas Kinkade-inspired depiction of a lighthouse,2672,Thomas Kinkade
30,30,A Thomas Kinkade-inspired painting of a peaceful harbor,1040,Thomas Kinkade
31,31,Design a Thomas Kinkade-inspired cottage by the sea,2920,Thomas Kinkade
32,32,A Thomas Kinkade-inspired painting of a quaint street,2290,Thomas Kinkade
33,33,Create a Thomas Kinkade-inspired depiction of a peaceful church,3574,Thomas Kinkade
34,34,A Thomas Kinkade-inspired painting of a tranquil stream,3050,Thomas Kinkade
35,35,Design a Thomas Kinkade-inspired painting of a magical forest,3987,Thomas Kinkade
36,36,A Thomas Kinkade-inspired painting of a cozy autumn scene,2373,Thomas Kinkade
37,37,Create a Thomas Kinkade-inspired painting of a serene meadow,3809,Thomas Kinkade
38,38,A Thomas Kinkade-inspired depiction of a peaceful park,506,Thomas Kinkade
39,39,Design a Thomas Kinkade-inspired painting of a charming bridge,886,Thomas Kinkade
40,40,Neon-lit cyberpunk cityscape by Kilian Eng,3313,Kilian Eng
41,41,Interstellar space station by Kilian Eng,2908,Kilian Eng
42,42,Mysterious temple ruins by Kilian Eng,2592,Kilian Eng
43,43,Artificial intelligence character by Kilian Eng,2527,Kilian Eng
44,44,Science fiction book cover by Kilian Eng,4762,Kilian Eng
45,45,Otherworldly landscape by Kilian Eng,4266,Kilian Eng
46,46,Robotic creature design by Kilian Eng,3463,Kilian Eng
47,47,Fantasy knight armor by Kilian Eng,4357,Kilian Eng
48,48,Cybernetic plant life by Kilian Eng,1920,Kilian Eng
49,49,Vaporwave-inspired digital art by Kilian Eng,892,Kilian Eng
50,50,Retro futuristic vehicle design by Kilian Eng,3845,Kilian Eng
51,51,Cosmic horror illustration by Kilian Eng,4714,Kilian Eng
52,52,Galactic exploration scene by Kilian Eng,4716,Kilian Eng
53,53,Alien planet ecosystem by Kilian Eng,3346,Kilian Eng
54,54,Post-apocalyptic sci-fi landscape by Kilian Eng,1897,Kilian Eng
55,55,Magical cyberspace portal by Kilian Eng,4669,Kilian Eng
56,56,Steampunk airship design by Kilian Eng,152,Kilian Eng
57,57,Robotic exosuit by Kilian Eng,1556,Kilian Eng
58,58,Abstract sci-fi landscape by Kilian Eng,888,Kilian Eng
59,59,Cyberpunk fashion illustration by Kilian Eng,4531,Kilian Eng
60,60,Portrait of a woman with floral crown by Kelly McKernan,2030,Kelly McKernan
61,61,Whimsical fairy tale scene by Kelly McKernan,4087,Kelly McKernan
62,62,Figure in flowing dress by Kelly McKernan,866,Kelly McKernan
63,63,Surreal dreamlike landscape by Kelly McKernan,4689,Kelly McKernan
64,64,Magical underwater scene by Kelly McKernan,25,Kelly McKernan
65,65,Folklore-inspired creature design by Kelly McKernan,3580,Kelly McKernan
66,66,Fantasy forest with glowing mushrooms by Kelly McKernan,3225,Kelly McKernan
67,67,Emotive portrait with abstract elements by Kelly McKernan,1681,Kelly McKernan
68,68,Fairytale princess illustration by Kelly McKernan,4160,Kelly McKernan
69,69,Digital painting of a mermaid by Kelly McKernan,2550,Kelly McKernan
70,70,Enchanting garden scene by Kelly McKernan,4939,Kelly McKernan
71,71,Animal spirit guide illustration by Kelly McKernan,4050,Kelly McKernan
72,72,Majestic dragon illustration by Kelly McKernan,47,Kelly McKernan
73,73,Ethereal floating islands by Kelly McKernan,1374,Kelly McKernan
74,74,Whimsical creatures with floral elements by Kelly McKernan,4463,Kelly McKernan
75,75,Surreal portrait with celestial elements by Kelly McKernan,1302,Kelly McKernan
76,76,Fantasy landscape with castle by Kelly McKernan,1309,Kelly McKernan
77,77,Abstract portrait with watercolor textures by Kelly McKernan,2589,Kelly McKernan
78,78,Charming street scene by Kelly McKernan,2194,Kelly McKernan
79,79,Magical library with books that come to life by Kelly McKernan,4126,Kelly McKernan
80,80,Ajin: Demi Human character portrait,2944,Ajin: Demi Human
81,81,Sci-fi dystopian cityscape in Ajin: Demi Human style,2011,Ajin: Demi Human
82,82,Action scene with Ajin and their IBM,3095,Ajin: Demi Human
83,83,Creepy Ajin: Demi Human villain design,971,Ajin: Demi Human
84,84,Digital painting of an Ajin's ghost,4809,Ajin: Demi Human
85,85,Dark and moody Ajin: Demi Human inspired landscape,1622,Ajin: Demi Human
86,86,Ajin: Demi Human character in full IBM form,992,Ajin: Demi Human
87,87,Post-apocalyptic world with Ajin: Demi Human elements,873,Ajin: Demi Human
88,88,Abstract art inspired by Ajin: Demi Human's IBM,4680,Ajin: Demi Human
89,89,Mysterious Ajin: Demi Human laboratory scene,921,Ajin: Demi Human
90,90,Ajin: Demi Human character in human form,1817,Ajin: Demi Human
91,91,Futuristic technology with Ajin: Demi Human touch,2878,Ajin: Demi Human
92,92,Magical Ajin: Demi Human ritual scene,2332,Ajin: Demi Human
93,93,Horror scene with Ajin: Demi Human creature,540,Ajin: Demi Human
94,94,Minimalist art inspired by Ajin: Demi Human,1958,Ajin: Demi Human
95,95,Ajin: Demi Human character in action,1714,Ajin: Demi Human
96,96,Digital painting of Ajin: Demi Human's IBM in battle,2435,Ajin: Demi Human
97,97,Fantasy world with Ajin: Demi Human elements,475,Ajin: Demi Human
98,98,Chilling Ajin: Demi Human hospital scene,2242,Ajin: Demi Human
99,99,Ajin: Demi Human character in contemplation,3590,Ajin: Demi Human
0,100,"A dynamic, action-packed illustration of a battle between dragons, in the style of Tyler Edlin.",3560,Tyler Edlin
1,101,"A whimsical, fantastical landscape featuring a castle in the clouds, in the style of Tyler Edlin.",3369,Tyler Edlin
2,102,"A detailed, stylized portrait of a mythical creature, with intricate details and moody lighting inspired by Tyler Edlin's style.",1024,Tyler Edlin
3,103,"A haunting, atmospheric scene of a mysterious forest at night, with dramatic lighting and intricate textures in the style of Tyler Edlin.",1540,Tyler Edlin
4,104,"A surreal, dreamlike landscape featuring a giant, looming moon, in the style of Tyler Edlin.",4808,Tyler Edlin
5,105,"A detailed, realistic portrait of a fictional character or creature, with stylized features and intricate details in the style of Tyler Edlin.",1834,Tyler Edlin
6,106,"A dramatic, cinematic scene of a fantastical city or kingdom, with moody lighting and intricate details in the style of Tyler Edlin.",4612,Tyler Edlin
7,107,"A colorful, whimsical illustration of a fantastical creature or character, with bold colors and intricate details inspired by Tyler Edlin's style.",2846,Tyler Edlin
8,108,"A fantastical, epic battle scene between knights and monsters, with dramatic lighting and intricate details in the style of Tyler Edlin.",3419,Tyler Edlin
9,109,"A surreal, dreamlike landscape featuring floating islands and strange creatures, in the style of Tyler Edlin.",4261,Tyler Edlin
10,110,"A detailed, stylized portrait of a historical or mythological figure, with intricate details and dramatic lighting in the style of Tyler Edlin.",2203,Tyler Edlin
11,111,"A haunting, atmospheric scene of a shipwreck on a mysterious island, with dramatic lighting and intricate textures inspired by Tyler Edlin's style.",2127,Tyler Edlin
12,112,"A surreal, otherworldly landscape with twisted spires and floating islands, with moody lighting and intricate textures in the style of Tyler Edlin.",3416,Tyler Edlin
13,113,"A vibrant, colorful illustration of a bustling fantasy marketplace, with intricate details and dynamic lighting inspired by Tyler Edlin's style.",3548,Tyler Edlin
14,114,"A whimsical, fantastical landscape featuring a floating castle or fortress, in the style of Tyler Edlin.",1282,Tyler Edlin
15,115,"A detailed, stylized portrait of a dragon or other mythical creature, with intricate details and dramatic lighting in the style of Tyler Edlin.",4661,Tyler Edlin
16,116,"A dramatic, cinematic scene of a fantastical battle or skirmish, with dynamic poses and stylized effects in the style of Tyler Edlin.",1322,Tyler Edlin
17,117,"A haunting, atmospheric scene of an abandoned ruin or temple, with dramatic lighting and intricate details in the style of Tyler Edlin.",4213,Tyler Edlin
18,118,"A fantastical scene of a floating city or fortress, with intricate details and dramatic lighting effects inspired by Tyler Edlin's style.",910,Tyler Edlin
19,119,"A moody, atmospheric illustration of a mythical creature or monster, with gritty textures and dramatic lighting in the style of Tyler Edlin.",1440,Tyler Edlin
20,120,"A surreal, futuristic cityscape with towering, neon-lit buildings and intricate details in the style of Kilian Eng.",3371,Kilian Eng
21,121,"A haunting, atmospheric scene of a mysterious space station, with intricate details and moody lighting inspired by Kilian Eng's style.",183,Kilian Eng
22,122,"A vibrant, colorful illustration of an otherworldly landscape, with surreal creatures and intricate details in the style of Kilian Eng.",156,Kilian Eng
23,123,"A detailed, stylized portrait of a futuristic hero or villain, with intricate details and dramatic lighting inspired by Kilian Eng's style.",3905,Kilian Eng
24,124,"A surreal, dreamlike illustration of a futuristic city or society, with intricate details and moody lighting effects in the style of Kilian Eng.",2058,Kilian Eng
25,125,"A fantastical, epic space battle scene, with intricate details and dynamic action inspired by Kilian Eng's style.",2641,Kilian Eng
26,126,"A haunting, atmospheric scene of a derelict spaceship, with intricate details and moody lighting in the style of Kilian Eng.",3923,Kilian Eng
27,127,"A detailed, stylized illustration of a futuristic vehicle or machine, with intricate details and dynamic lighting inspired by Kilian Eng's style.",2636,Kilian Eng
28,128,"A surreal, dreamlike landscape featuring a strange, floating island or structure, in the style of Kilian Eng.",680,Kilian Eng
29,129,"A fantastical, futuristic scene featuring a towering robot or mech, with intricate details and dynamic poses inspired by Kilian Eng's style.",4475,Kilian Eng
30,130,"A haunting, atmospheric illustration of a futuristic city shrouded in mist or fog, with intricate details and moody lighting in the style of Kilian Eng.",2715,Kilian Eng
31,131,"A surreal, dreamlike illustration of a floating space station or habitat, with intricate details and surreal lighting effects in the style of Kilian Eng.",4994,Kilian Eng
32,132,"A fantastical, epic space battle scene, with intricate details and dynamic action inspired by Kilian Eng's style.",1639,Kilian Eng
33,133,"A haunting, atmospheric scene of a derelict spaceship, with intricate details and moody lighting in the style of Kilian Eng.",4791,Kilian Eng
34,134,"A detailed, stylized illustration of a futuristic vehicle or machine, with intricate details and dynamic lighting inspired by Kilian Eng's style.",574,Kilian Eng
35,135,"A surreal, dreamlike landscape featuring a strange, floating island or structure, in the style of Kilian Eng.",3057,Kilian Eng
36,136,"A fantastical, futuristic scene featuring a towering robot or mech, with intricate details and dynamic poses inspired by Kilian Eng's style.",1545,Kilian Eng
37,137,"A haunting, atmospheric illustration of a futuristic city shrouded in mist or fog, with intricate details and moody lighting in the style of Kilian Eng.",1119,Kilian Eng
38,138,"A surreal, dreamlike illustration of a floating space station or habitat, with intricate details and surreal lighting effects in the style of Kilian Eng.",3358,Kilian Eng
39,139,"A futuristic, high-tech scene featuring a massive, intricately detailed spaceship, with dynamic lighting and intricate details inspired by Kilian Eng's style.",552,Kilian Eng
60,140,"A hauntingly beautiful portrait with muted colors and delicate linework, reminiscent of Kelly McKernan's style.",236,Kelly McKernan
61,141,"A surreal, dreamlike scene featuring a fantastical landscape or otherworldly creatures, with soft colors and flowing lines inspired by Kelly McKernan's style.",2738,Kelly McKernan
62,142,"A whimsical portrait of a fairytale character, with intricate details and delicate linework in the style of Kelly McKernan.",525,Kelly McKernan
63,143,"A mesmerizing, otherworldly portrait featuring a fantastical creature or character, with intricate details and flowing linework reminiscent of Kelly McKernan's style.",1521,Kelly McKernan
64,144,"A delicate, haunting portrait of a female figure with muted colors and intricate linework, inspired by Kelly McKernan's style.",3161,Kelly McKernan
65,145,"A whimsical, ethereal illustration of a mystical creature or otherworldly landscape, with soft colors and delicate linework in the style of Kelly McKernan.",4067,Kelly McKernan
66,146,"A surreal, dreamlike portrait of a female figure, with flowing linework and muted colors inspired by Kelly McKernan's style.",3845,Kelly McKernan
67,147,"A hauntingly beautiful portrait featuring a female figure or otherworldly creature, with soft colors and delicate linework reminiscent of Kelly McKernan's style.",0,Kelly McKernan
68,148,"A whimsical, otherworldly scene featuring fantastical creatures or landscapes, with soft colors and flowing linework inspired by Kelly McKernan's style.",2536,Kelly McKernan
69,149,"A delicate, ethereal portrait featuring a mystical creature or character, with intricate details and flowing linework in the style of Kelly McKernan.",4492,Kelly McKernan
70,150,"A surreal, dreamlike portrait of a fairytale character, with muted colors and intricate linework reminiscent of Kelly McKernan's style.",764,Kelly McKernan
71,151,"A whimsical, fantastical scene featuring magical creatures or landscapes, with soft colors and delicate linework in the style of Kelly McKernan.",2145,Kelly McKernan
72,152,"A hauntingly beautiful portrait featuring a female figure or otherworldly creature, with soft colors and intricate linework inspired by Kelly McKernan's style.",1383,Kelly McKernan
73,153,"A surreal, dreamlike scene featuring a fantastical landscape or otherworldly creatures, with muted colors and flowing lines reminiscent of Kelly McKernan's style.",2330,Kelly McKernan
74,154,"A delicate, otherworldly portrait featuring a mystical creature or character, with intricate details and flowing linework in the style of Kelly McKernan.",4221,Kelly McKernan
75,155,"A whimsical, fantastical portrait of a fairy or other mystical creature, with soft colors and delicate linework inspired by Kelly McKernan's style.",1241,Kelly McKernan
76,156,"A surreal, dreamlike scene featuring a female figure or fantastical landscape, with flowing linework and muted colors reminiscent of Kelly McKernan's style.",196,Kelly McKernan
77,157,"A hauntingly beautiful portrait featuring a mystical creature or otherworldly character, with intricate details and soft colors in the style of Kelly McKernan.",4009,Kelly McKernan
78,158,"A delicate, ethereal illustration featuring a fantastical creature or otherworldly landscape, with intricate details and flowing linework inspired by Kelly McKernan's style.",4397,Kelly McKernan
79,159,"A surreal, dreamlike portrait of a mystical character or creature, with muted colors and delicate linework reminiscent of Kelly McKernan's style.",3706,Kelly McKernan
80,160,"A peaceful, idyllic scene of a charming cottage nestled in a picturesque countryside, with warm, inviting colors reminiscent of Thomas Kinkade's style.",3713,Thomas Kinkade
81,161,"A serene, tranquil painting featuring a quiet forest clearing or bubbling stream, with soft, ethereal light that captures the essence of Thomas Kinkade's style.",2897,Thomas Kinkade
82,162,"A cozy, inviting scene of a snow-covered cabin in the woods, with warm, glowing light and delicate details inspired by Thomas Kinkade's style.",2998,Thomas Kinkade
83,163,"A charming, nostalgic painting of a quaint, small-town street or village, with inviting storefronts and welcoming, warm light reminiscent of Thomas Kinkade's style.",1414,Thomas Kinkade
84,164,"A peaceful, serene landscape featuring a tranquil lake or babbling brook, with delicate details and soft, glowing light inspired by Thomas Kinkade's style.",505,Thomas Kinkade
85,165,"A romantic, idyllic painting of a beautiful garden or park, with delicate floral details and soft, warm light reminiscent of Thomas Kinkade's style.",2635,Thomas Kinkade
86,166,"A cozy, inviting scene of a warmly lit cabin in the mountains or by the lake, with intricate details and soft, ethereal light inspired by Thomas Kinkade's style.",2453,Thomas Kinkade
87,167,"A tranquil, peaceful painting of a quiet countryside road or winding path, with warm, inviting light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",1755,Thomas Kinkade
88,168,"A charming, nostalgic scene of a small, idyllic town or village at sunset, with warm, inviting colors and delicate, intricate details reminiscent of Thomas Kinkade's style.",4540,Thomas Kinkade
89,169,"A serene, tranquil painting of a forest or meadow at dawn, with soft, ethereal light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",966,Thomas Kinkade
90,170,"A cozy, inviting scene of a warmly lit cottage or home in the woods, with intricate details and warm, glowing light inspired by Thomas Kinkade's style.",647,Thomas Kinkade
91,171,"A peaceful, idyllic landscape featuring a tranquil river or rolling hills, with soft, glowing light and delicate, intricate details reminiscent of Thomas Kinkade's style.",2708,Thomas Kinkade
92,172,"A charming, nostalgic painting of a small, quaint church or chapel, with warm, inviting light and delicate, intricate details inspired by Thomas Kinkade's style.",1733,Thomas Kinkade
93,173,"A tranquil, peaceful painting of a quiet beach or seaside town, with soft, ethereal light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",579,Thomas Kinkade
94,174,"A romantic, idyllic painting of a beautiful countryside or garden, with delicate floral details and soft, warm light reminiscent of Thomas Kinkade's style.",842,Thomas Kinkade
95,175,"A cozy, inviting scene of a warmly lit cabin or cottage in the mountains, with intricate details and warm, glowing light inspired by Thomas Kinkade's style.",2993,Thomas Kinkade
96,176,"A peaceful, serene painting of a quiet forest or woodland, with soft, glowing light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",312,Thomas Kinkade
97,177,"A charming, nostalgic scene of a small, idyllic town or village at night, with warm, inviting colors and delicate, intricate details reminiscent of Thomas Kinkade's style.",2754,Thomas Kinkade
98,178,"A tranquil, peaceful painting of a quiet countryside or rolling hills at sunset, with soft, glowing light and delicate, intricate details inspired by Thomas Kinkade's style.",3593,Thomas Kinkade
99,179,"A cozy, inviting scene of a warmly lit home or cottage by the lake, with intricate details and warm, glowing light reminiscent of Thomas Kinkade's style.",3626,Thomas Kinkade
100,180,"A lone Ajin: Demi Human stands on a rooftop, contemplating their place in the world.",4405,Ajin: Demi Human
101,181,A group of Ajin: Demi Human gather in secret to plan their next move against the government.,2337,Ajin: Demi Human
102,182,An Ajin: Demi Human unleashes their supernatural power in a desperate attempt to defend themselves.,3997,Ajin: Demi Human
103,183,"A government agent corners an Ajin: Demi Human, uncertain of how to proceed.",2753,Ajin: Demi Human
104,184,"An Ajin: Demi Human faces their inner demons, struggling to control their powers.",1720,Ajin: Demi Human
105,185,"Two Ajin: Demi Human engage in a fierce battle, their powers clashing in a shower of sparks.",3959,Ajin: Demi Human
106,186,A human ally of the Ajin: Demi Human risks everything to protect their supernatural friends.,993,Ajin: Demi Human
107,187,"An Ajin: Demi Human uses their powers to create a beautiful work of art, their talent undeniable.",953,Ajin: Demi Human
108,188,"A group of government agents move in on a suspected Ajin: Demi Human, prepared for a fight.",4676,Ajin: Demi Human
109,189,An Ajin: Demi Human leads a group of their own kind in a rebellion against the government.,1117,Ajin: Demi Human
110,190,"A human and an Ajin: Demi Human share a moment of connection, their differences forgotten.",3632,Ajin: Demi Human
111,191,An Ajin: Demi Human struggles to maintain their humanity amidst the chaos of their powers.,2462,Ajin: Demi Human
112,192,"A government scientist studies an Ajin: Demi Human, fascinated by their unique physiology.",2642,Ajin: Demi Human
113,193,"An Ajin: Demi Human confronts their own mortality, unsure of what the future holds.",2550,Ajin: Demi Human
114,194,"A group of humans and Ajin: Demi Human work together to uncover a government conspiracy, their lives on the line.",1238,Ajin: Demi Human
115,195,"An Ajin: Demi Human seeks refuge in an abandoned building, wary of those who would do them harm.",4764,Ajin: Demi Human
116,196,"A government agent grapples with the morality of hunting down the Ajin: Demi Human, unsure of their own loyalties.",2184,Ajin: Demi Human
117,197,"An Ajin: Demi Human uses their powers for personal gain, the line between right and wrong blurred.",2053,Ajin: Demi Human
118,198,"A young Ajin: Demi Human is forced to confront their powers before they are ready, struggling to control them.",4573,Ajin: Demi Human
119,199,"A group of Ajin: Demi Human band together in a show of strength, refusing to be silenced by the government's oppression.",65,Ajin: Demi Human
